Execution ID,Query,Start time,Status,Run time,Data scanned,Query engine version used,Encryption
84ba4655-e80a-4ccd-b6c5-a59afe230a6d,"SELECT SUM(Volume) AS Total_Volume
FROM ""stock-market "".""stock_market_vamc""",2024-05-30T16:02:40.360-04:00,SUCCEEDED,2.802 sec,1.27 MB,Athena engine version 3,
9ec1918c-1fc1-46ef-8d64-3d81420a8e1d,"SELECT Date, Close AS Closing_Price
FROM ""stock-market "".""stock_market_vamc""
WHERE Close = (SELECT MAX(Close) FROM ""stock-market "".""stock_market_vamc"")
OR Close = (SELECT MIN(Close) FROM ""stock-market "".""stock_market_vamc"")",2024-05-30T16:02:25.044-04:00,SUCCEEDED,3.362 sec,2.54 MB,Athena engine version 3,
e2a1e7c0-1dee-4f44-8fc8-d275beaf6abf,"SELECT AVG(Close) AS Average_Closing_Price
FROM ""stock-market "".""stock_market_vamc""",2024-05-30T16:02:12.966-04:00,SUCCEEDED,2.003 sec,1.27 MB,Athena engine version 3,
d6062c9b-dd84-42cd-a6f0-d67a9a3bde79,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T16:01:48.248-04:00,SUCCEEDED,2.552 sec,1.27 MB,Athena engine version 3,
4a5e1e87-4c27-45c8-aef8-9c45b0216e6f,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T16:01:33.848-04:00,SUCCEEDED,1.936 sec,1.27 MB,Athena engine version 3,
2c475a10-c3df-402c-ac37-1526fbee65c7,"SELECT Date, Close AS Closing_Price
FROM ""stock-market "".""stock_market_vamc""
WHERE Close = (SELECT MAX(Close) FROM ""stock-market "".""stock_market_vamc"")
OR Close = (SELECT MIN(Close) FROM ""stock-market "".""stock_market_vamc"")",2024-05-30T16:01:28.335-04:00,SUCCEEDED,2.397 sec,2.54 MB,Athena engine version 3,
581bb8c4-8c54-46b9-a1d4-06f2b3fd25d9,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T15:49:02.302-04:00,SUCCEEDED,1.829 sec,1.23 MB,Athena engine version 3,
79cf6f29-ae8c-489c-b802-b44f83e34c97,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:48:36.527-04:00,SUCCEEDED,2.582 sec,590.76 KB,Athena engine version 3,
4311972f-fd8b-4dc4-bf2c-2727e6463d9f,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:40:30.391-04:00,SUCCEEDED,2.025 sec,500.86 KB,Athena engine version 3,
329ef0e3-f360-45f2-9a6c-42616529d6e5,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:40:26.481-04:00,SUCCEEDED,1.285 sec,500.09 KB,Athena engine version 3,
defc628d-392b-4bef-ad63-37fab2f62e01,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:32:43.268-04:00,SUCCEEDED,1.529 sec,414.44 KB,Athena engine version 3,
c323e4c2-899f-491b-9e94-2e6a2ca7be43,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:32:38.884-04:00,SUCCEEDED,2.104 sec,413.67 KB,Athena engine version 3,
f00b0c61-78d5-47b8-aad0-62682c600b62,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:32:35.647-04:00,SUCCEEDED,1.121 sec,412.93 KB,Athena engine version 3,
072e6450-ea61-408c-bfbd-48d2914bf0b6,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:32:33.270-04:00,SUCCEEDED,1.064 sec,412.56 KB,Athena engine version 3,
5f3d2702-c8fc-4d95-9985-2320fd00d7cb,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:32:30.061-04:00,SUCCEEDED,1.469 sec,411.99 KB,Athena engine version 3,
